song,firstName,lastName
Canada,Avery,Watkins
Down On The Corner,Ava,Robinson
Camaro,Ava,Robinson
Unbreakable,Avery,Watkins
Born To Be Wild,Kate,Harrell
the king of wishful thinking,Ava,Robinson
Elevator,Avery,Watkins
Willie And The Hand Jive,Kate,Harrell
Little Drummer Boy [featuring guitarist Andy McKee] (Album Version),Devin,Larson
Coin-Operated Boy,Avery,Watkins
Where Is My Mind?,Kate,Harrell
I Put A Spell On You,Devin,Larson
Girlfriend In A Coma,Kate,Harrell
No Names (Black Debbie) (Album Version),Avery,Watkins
Love Story,Kate,Harrell
La pachanga,Avery,Watkins
Light Your Ass On Fire,Kate,Harrell
Above The Clouds,Avery,Watkins
You're The One,Kate,Harrell
He Can Only Hold Her,Avery,Watkins
Te-Ta-Te-Ta-Ta (2002 Digital Remaster),Kate,Harrell
Congratulations_ I Hate You,Avery,Watkins
You're The One,Kate,Harrell
Premonicion,Avery,Watkins
Lock and Key,Kate,Harrell
Stronger,Kate,Harrell
Neon Bible,Avery,Watkins
Horn Concerto No. 4 in E flat K495: II. Romance (Andante cantabile),Avery,Watkins
I'm a Pilot,Kate,Harrell
Empathy,Avery,Watkins
Brigitte Bardot,Kate,Harrell
Just A Boy,Avery,Watkins
4 Chords of the Apocalypse,Avery,Watkins
Safe 2 Say [The Incredible] (Album Version - Amended),Kate,Harrell
Yeah!,Avery,Watkins
Don't Walk Away,Kate,Harrell
Losing My Ground,Avery,Watkins
Supermassive Black Hole (Twilight Soundtrack Version),Kate,Harrell
Undercover Martyn,Avery,Watkins
Intake (Album Version),Kate,Harrell
When You Believe,Avery,Watkins
Transatlanticism,Kate,Harrell
Ces Gens LÃÂ ,Avery,Watkins
Emergency (Album Version),Kate,Harrell
Cemetery Drive (Album Version),Avery,Watkins
On My Own,Kate,Harrell
Run Run Run,Avery,Watkins
Skills To Pay The Bills,Kate,Harrell
These Words,Lily,Burns
AtrÃÂ©vete te te,Avery,Watkins
Modern Nature,Kate,Harrell
Ultimo Baile,Lily,Burns
Mayfair Song,Avery,Watkins
Canada,Kate,Harrell
Riot On An Empty Street,Lily,Burns
You're In My Heart,Avery,Watkins
E Talking,Kate,Harrell
Mystery of You,Lily,Burns
Overload,Avery,Watkins
Say What You Say,Lily,Burns
Scream,Kate,Harrell
Le Courage Des Oiseaux,Avery,Watkins
My December,Kate,Harrell
Canada,Avery,Watkins
Give Me Some Of Yr Love,Avery,Watkins
Message In A Bottle,Kate,Harrell
Microwave,Avery,Watkins
A Rush Of Blood To The Head,Celeste,Williams
A World Without Love,Maia,Burke
Coming Back,Avery,Watkins
To The Sky,Kate,Harrell
I'd Rather Be With You,Maia,Burke
When We Get By,Chloe,Cuevas
The Music Scene,Celeste,Williams
Terrible Lie,Ayla,Johnson
Colourless Colour,Maia,Burke
American Star,Kate,Harrell
What Else Is There?,Avery,Watkins
Spinning (Album Version),Chloe,Cuevas
Definitely Maybe,Kate,Harrell
Disorder [2007 Re-mastered Album Version],Avery,Watkins
Rock Star,Chloe,Cuevas
Orange TrÃÂ¤gt Nur Die MÃÂ¼llabfuhr (Go West),Kate,Harrell
Wave Goodbye (Real/Rhapsody Version),Avery,Watkins
We Are Lost,Kate,Harrell
Gears,Chloe,Cuevas
Gives You Hell,Harper,Barrett
Born To Run,Avery,Watkins
Say (All I Need),Kate,Harrell
Meteor Shower,Chloe,Cuevas
I'm In Peace,Harper,Barrett
I Am Not a Robot,Chloe,Cuevas
Don't Let The Rain Come Down (Crooked Little Man),Avery,Watkins
Maternal Instinct,Kate,Harrell
My Baby Just Cares For Me,Harper,Barrett
OMG,Avery,Watkins
Everything Counts (Live) (Single Version),Chloe,Cuevas
Especially In Michigan (Album Version),Harper,Barrett
Kryptonite,Kate,Harrell
Bread And Butter,Harper,Barrett
Dusty,Kate,Harrell
La Bamba,Avery,Watkins
Forever,Harper,Barrett
I'm In Love,Chloe,Cuevas
I'm Not A Loser,Avery,Watkins
BareNaked,Kate,Harrell
Burn Out,Chloe,Cuevas
Baja por diversion (directo 05),Harper,Barrett
Hope Is... (Album Version),Kate,Harrell
Day 'N' Nite,Harper,Barrett
La Llorona,Kate,Harrell
Dance_ Dance,Harper,Barrett
Lady Marmalade,Kate,Harrell
Algebra Of Darkness (Album Version),Harper,Barrett
Jimbo (Album Version),Kate,Harrell
Deseret,Harper,Barrett
I'll Be Your Man,Kate,Harrell
Christmas,Harper,Barrett
ReprÃÂ©sente,Kate,Harrell
"A Letra ""A",Harper,Barrett
Live Like We're Dying,Kate,Harrell
Muscle Museum (Soulwax Remix),Kate,Harrell
Lovely Head,Harper,Barrett
Doctor Alibi (featuring Lemmy Kilmister),Kate,Harrell
Stupid_ Stupid War (Dealing With It),Harper,Barrett
Unite (2009 Digital Remaster),Harper,Barrett
Hate,Kate,Harrell
Revelry,Harper,Barrett
Translocation,Kate,Harrell
Me And Charlie Talking,Harper,Barrett
The Boy Is Mine (Duet With Monica) (LP Version),Kate,Harrell
How You Like Me Now?,Harper,Barrett
Point/Counterpoint (Album Version),Kate,Harrell
Murder Babe (Album),Harper,Barrett
Die For You,Harper,Barrett
Better Together,Kate,Harrell
Eyes As Candles,Harper,Barrett
Zagros,Aleena,Kirby
Part 2,Kate,Harrell
Eruption (Album Version),Harper,Barrett
Heaven Is A Truck,Kate,Harrell
SinceritÃÂ© Et Jalousie,Harper,Barrett
Keep It Smooth,Aleena,Kirby
Born On The Bayou,Kate,Harrell
It's So Hard,Harper,Barrett
Amerika (Album Version),Aleena,Kirby
I'm With You,Aleena,Kirby
Circuito III,Kate,Harrell
Undo,Harper,Barrett
Casposos,Aleena,Kirby
Is This It,Harper,Barrett
Goodnight My Love,Aleena,Kirby
Creil City,Harper,Barrett
(iii),Kate,Harrell
Life After Death,Kate,Harrell
All I Want For Christmas Is You,Aleena,Kirby
The Moon (Album version),Harper,Barrett
A Teenager In Love,Kate,Harrell
Bubble Toes,Kynnedi,Sanchez
The Maestro,Aleena,Kirby
It's My Party,Kate,Harrell
The Next Episode,Harper,Barrett
Encore Break,Aleena,Kirby
Commissioning A Symphony In C,Kynnedi,Sanchez
Rome,Kate,Harrell
Seduction (album),Aleena,Kirby
She Moves In Her Own Way,Harper,Barrett
La Petite Marie (2005 Digital Remaster),Harper,Barrett
Rollin' (Air Raid Vehicle),Kate,Harrell
Move On (Album Version),Aleena,Kirby
Orange TrÃÂ¤gt Nur Die MÃÂ¼llabfuhr (Go West),Harper,Barrett
My Piano (DJ-Kicks),Kate,Harrell
Do That There (featuring Dude 'N Nem),Aleena,Kirby
Closer,Harper,Barrett
Life On Mars,Aleena,Kirby
Love And Caring,Kate,Harrell
Lead Us,Harper,Barrett
Adrenalin,Kate,Harrell
Crazy Bitch (Album Version),Aleena,Kirby
The General Specific (Album),Harper,Barrett
Speak Silence,Kate,Harrell
O Samba E O Tango,Aleena,Kirby
Burning,Harper,Barrett
All That I Need,Aleena,Kirby
Trouble,Kate,Harrell
Unwell (Album Version),Harper,Barrett
On Time,Aleena,Kirby
Golden Skans,Kate,Harrell
Hot Thing ( LP Version ),Harper,Barrett
You're The One,Kate,Harrell
It Was Written,Aleena,Kirby
Genom tunna tyger,Kate,Harrell
I Was Made,Harper,Barrett
Infinite Template,Kate,Harrell
Face The Blood,Aleena,Kirby
Slow Dancing In A Burning Room,Harper,Barrett
Alright,Aleena,Kirby
Aunque Estes Con El,Harper,Barrett
Two Million Voices,Aleena,Kirby
Count On Me (Somebody),Kate,Harrell
Exile,Aleena,Kirby
Everyone's At It,Harper,Barrett
I'M Gonna Keep On Driving My Car,Kate,Harrell
Paper Planes,Aleena,Kirby
Interested,Kate,Harrell
This Celluloid Dream,Harper,Barrett
She Don't Want The World,Aleena,Kirby
Points Of Authority (Album Version),Kate,Harrell
Gang Party (Leatherface),Harper,Barrett
Release Me,Aleena,Kirby
Island In The Sun,Kate,Harrell
Kun Puut Tekee SeittiÃÂ¤,Harper,Barrett
Fuori Dal Tunnel (Album Version),Aleena,Kirby
Flesh For Fantasy,Kate,Harrell
Fireflies,Aleena,Kirby
Can't Help Falling In Love (Album Version) (Studio),Kate,Harrell
Baby I Want You,Harper,Barrett
Big Poppa,Aleena,Kirby
Azure (Album),Aleena,Kirby
Brothers & Sisters,Aleena,Kirby
Good Enough,Aleena,Kirby
Cuentos chinos,Aleena,Kirby
Hidden Love,Aleena,Kirby
Promise Me,Aleena,Kirby
Boombox,Aleena,Kirby
Just Like You,Aleena,Kirby
Woman Capture Man,Aleena,Kirby
Watch Me Shine (Album),Aleena,Kirby
Booksmart Devil,Aleena,Kirby
Lady,Aleena,Kirby
Gay Porn,Chloe,Cuevas
Heart Less,Aleena,Kirby
Human Vulture,Chloe,Cuevas
The State Of Massachusetts,Aleena,Kirby
Beat It,Aleena,Kirby
Girl Dreams,Chloe,Cuevas
Intergalactic,Chloe,Cuevas
Thnks fr th Mmrs,Aleena,Kirby
221,Chloe,Cuevas
A Hundred Moons,Aleena,Kirby
Love Is Gonna Save Us ,Chloe,Cuevas
Evolution (the Grand Design),Aleena,Kirby
Big Apple (Metro Mix),Chloe,Cuevas
Virtual Insanity,Aleena,Kirby
Somebody To Love,Chloe,Cuevas
Save The Last Dance For Me,Aleena,Kirby
Read My Mind,Chloe,Cuevas
Cat People (Putting Out Fire),Aleena,Kirby
ReprÃÂ©sente,Chloe,Cuevas
Lovefool,Aleena,Kirby
I'm Not Gonna Teach Your Boyfriend How To Dance With You,Aleena,Kirby
She Is Love,Chloe,Cuevas
The Wrong Thing To Do (Album Version),Chloe,Cuevas
Sample Track 2,Aleena,Kirby
Movement III - Linear Tableau with Intersecting Surprise,Chloe,Cuevas
Green River Blues,Aleena,Kirby
Walk On Water,Aleena,Kirby
Fog On The Tyne (Live),Chloe,Cuevas
Jesus Walks,Aleena,Kirby
Retourne Chez Elle,Chloe,Cuevas
Runaway (Album Version),Aleena,Kirby
You've Got To Hide Your Love Away (Digitally Remastered 01),Aleena,Kirby
Don't Speak,Chloe,Cuevas
God Is On The Radio,Aleena,Kirby
Shots,Chloe,Cuevas
High Anxiety,Chloe,Cuevas
Mariella,Aleena,Kirby
If This Is Love,Chloe,Cuevas
Holding Out For A Hero,Aleena,Kirby
Get Up Again,Chloe,Cuevas
Journey To The Past  (LP Version),Chloe,Cuevas
Finale,Aleena,Kirby
Just Dance,Chloe,Cuevas
Dance With The Devil,Aleena,Kirby
Bluish,Chloe,Cuevas
A New Hope,Aleena,Kirby
Loon Garden,Molly,Taylor
Thank You,Chloe,Cuevas
The Whammy,Aleena,Kirby
All Across The World,Aleena,Kirby
The Ponytail Parades,Chloe,Cuevas
Song Away,Aleena,Kirby
Hurt Feelings,Jayden,Duffy
Cooler Than Me,Chloe,Cuevas
Medlong,Aleena,Kirby
So Long_ Babe (2006 Digital Remaster),Jayden,Duffy
I Remember Nothing [2007 Re-mastered Album Version],Chloe,Cuevas
Suspicious Minds,Aleena,Kirby
Revelry,Chloe,Cuevas
Gone,Aleena,Kirby
It's My Own Fault,Chloe,Cuevas
I Believe I'll Go Back Home,Aleena,Kirby
Naviamente,Aleena,Kirby
Can You Tell,Chloe,Cuevas
What If I Do?,Aleena,Kirby
Colors Of The Wind,Aleena,Kirby
(Hon Vill Ha) Puls,Aleena,Kirby
Cumbia En Do Menor,Chloe,Cuevas
Marry Me,Aleena,Kirby
Teenager,Aleena,Kirby
Tudo Que Eu Sempre Quis,Chloe,Cuevas
Audience Of One,Aleena,Kirby
My Life Inside Your Heart,Aleena,Kirby
Let's Go All The Way (Short Blix Mix),Aleena,Kirby
Crazy On You,Aleena,Kirby
Cats In The Cradle,Aleena,Kirby
You Took My Breath Away (2007 Remastered LP Version),Aleena,Kirby
A Foggy Day (In London Town) (Album Version),Aleena,Kirby
Have You Ever,Aleena,Kirby
Fandangu Los Llobos,Aleena,Kirby
Voices Of Violence (Album Version),Aleena,Kirby
Courtesy Laughs,Aleena,Kirby
We Don't Care,Aleena,Kirby
Gestern_Morgen,Aleena,Kirby
Que Me Quedes Tu,Aleena,Kirby
Da Baddest [Feat. Trey Songz] (Explicit Album Version),Aleena,Kirby
La Vie En Rose,Lily,Koch
Think About Last Night,Lily,Koch
Love Buzz,Lily,Koch
Only In Dreams,Lily,Koch
She Is My Sin,Lily,Koch
Teach Me How To Dougie,Lily,Koch
Silvia,Lily,Koch
I Kissed A Girl,Lily,Koch
Peep Show,Lily,Koch
Not Fair,Lily,Koch
Lump,Lily,Koch
Right Now (Produced by Ayatollah),Lily,Koch
Take A Bow,Lily,Koch
Back To The African Garden,Lily,Koch
My Humps,Lily,Koch
Show Me What I'm Looking For (Album Version),Lily,Koch
Dust in The Wind,Lily,Koch
Xehasmeni Melodia,Lily,Koch
Lakini's Juice,Lily,Koch
Nuff Fire,Lily,Koch
Mean Mean Son Of A Gun,Lily,Koch
Ironmasters,Lily,Koch
The Absence Of God (Album Version),Lily,Koch
Lost My Mind,Lily,Koch
Mamma,Lily,Koch
I Will Follow You into the Dark (Album Version),Lily,Koch
You're The One,Lily,Koch
Cartel Gathering,Lily,Koch
Si tu no estas,Lily,Koch
The Ballad of Michael Valentine,Lily,Koch
SinceritÃÂ© Et Jalousie,Lily,Koch
China Roses,Lily,Koch
Jazz,Lily,Koch
Love + Pain,Ryan,Smith
Solitario Y Solo,Ryan,Smith
Midwest Gospel Radio,Ryan,Smith
Wavin'  Flag,Ava,Robinson
Her Ghost In The Fog,Kate,Harrell
Let It Rain,Kate,Harrell
Sonne,Kate,Harrell
If You Want To Sing Out_ Sing Out,Kate,Harrell
Spente Le Stelle,Kate,Harrell
Float On,Kate,Harrell
En El Cielo No Hay Cerveza (In Heaven There Is No Beer),Kate,Harrell
Float On,Kate,Harrell
Pills (Radio Edit) (Radio Edit),Kate,Harrell
Strut (1993 Digital Remaster),Kate,Harrell
My Baby Don't Love Me,Kate,Harrell
Dog Days Are Over (Radio Edit),Kate,Harrell
Naked (Live),Kate,Harrell
Apologize,Kate,Harrell
Full Circle,Kate,Harrell
Don't Panic,Kate,Harrell
You Were The King_ Now You're Unconscious (Album Version),Kate,Harrell
Born To Run,Kate,Harrell
Undo,Kate,Harrell
It Just Don't Stop,Kate,Harrell
Be Your Own Girl,Kate,Harrell
Ain't No Way (You Won't Love Me),Kate,Harrell
Filosofia Barata Y Zapatos De Goma,Kate,Harrell
Boyz-N-The-Hood,Kate,Harrell
1/2/2008,Kate,Harrell
Unite (2009 Digital Remaster),Kate,Harrell
Take A Ride,Kate,Harrell
Cuando Agosto Era 21,Kate,Harrell
Napoleon Says,Kate,Harrell
Sweet And Wild,Jayden,Fox
Manchild,Jayden,Fox
Szex & KV,Ayla,Johnson
Pursuit Of Happiness (nightmare),Lily,Burns
Blue Blood,Morris,Gilmore
Trashin' The Camp (Phil And 'N Sync Version),Morris,Gilmore
I Need You,Jayden,Fox
Tired Of Being Sorry,Jayden,Fox
The Invisible Man,Jayden,Fox
Windy & Warm,Jayden,Fox
No Good 4 You,Stefany,White
Nothing Personal,Jayden,Duffy
ConfesiÃÂ³n,Cecilia,Owens
I Found That Essence Rare,Cecilia,Owens
Le Soir,Cecilia,Owens
Last Day Of Our Love,Tegan,Levine
Supermassive Black Hole (Twilight Soundtrack Version),Harper,Barrett
Lighten Up,Harper,Barrett
Pienso En Ti,Harper,Barrett
Amor Prohibido,Harper,Barrett
Day 'N' Nite,Harper,Barrett
Black Masks & Gasoline,Harper,Barrett
I'm Like A Lawyer With The Way I'm Always Trying To Get You Off (Me & You),Harper,Barrett
Staple It Together,Harper,Barrett
Slow Jamz (Feat. Kanye West & Jamie Foxx) (Edited Album Version),Harper,Barrett
Hey_ Soul Sister,Harper,Barrett
Rehab,Harper,Barrett
Van Helsing Boombox,Harper,Barrett
The Stallion,Harper,Barrett
Fireflies,Harper,Barrett
I Want I Want,Harper,Barrett
Railway,Harper,Barrett
Clark Gable (Album),Harper,Barrett
Phaeton,Harper,Barrett
Ucci Ucci feat. Nicki Minaj & The Chopper City Boyz,Harper,Barrett
Choke,Harper,Barrett
Stuck Between,Harper,Barrett
Smell Of Desire.,Harper,Barrett
Headlights Look Like Diamonds,Harper,Barrett
Out Go The Lights,Harper,Barrett
You & Me Song,Harper,Barrett
Girls (Album version),Harper,Barrett
Wayfaring Stranger,Harper,Barrett
Sweep The Flo (Featuring Diamond),Harper,Barrett
This Old House w/ When The Saints Medley,Harper,Barrett
Brain Leech,Harper,Barrett
Didgeridoo,Harper,Barrett
LÃÂ  OÃÂ¹ Je Pars,Harper,Barrett
I Wouldn't Be A Man,Harper,Barrett
Soy AlbaÃÂ±il,Chloe,Cuevas
Ghost In The Mirror,Cecilia,Owens
My Moon My Man,Layla,Griffin
We Will Become Silhouettes (Album),Tegan,Levine
Life Without You,Tegan,Levine
Miseria Cantare--The Beginning,Hannah,Calhoun
Catch You Baby (Steve Pitron & Max Sanna Radio Edit),Sara,Johnson
My Blue Heaven,Sara,Johnson
Crucificame,Sara,Johnson
Invalid,Sara,Johnson
I Can Dance,Kimber,Norris
The World Is A Ghetto,Kimber,Norris
Gone,Tegan,Levine
Play,Tegan,Levine
Second awakening,Devin,Larson
Protoculture (Sankofa),Tegan,Levine
Emotion,Tegan,Levine
Love Story,Colm,Santana
Message In A Bottle,Tegan,Levine
You'd Rather Run,Tegan,Levine
Happy Working Song,Martin,Johnson
Second Chance (Album Version),Tegan,Levine
Some Unholy War,Martin,Johnson
Ride Wit Me,Tegan,Levine
Soliloquy Of Chaos (Explicit),Lily,Koch
Who's Your Daddy? ,Tegan,Levine
When It Rains (Album Version),Lily,Koch
Mama Said,Tegan,Levine
Forever Not Yours (Album Version  - NY Mix II),Lily,Koch
Lovely Rita (feat. Bunny Rugs and U Roy),Tegan,Levine
Down To My Last,Lily,Koch
Mudanca De Tempo,Tegan,Levine
Walking In The Air,Lily,Koch
Mayfield,Tegan,Levine
Ring My Bell,Lily,Koch
I C Love Affair,Tegan,Levine
Slow Death,Lily,Koch
Carry,Tegan,Levine
Canada,Lily,Koch
Pace E Guerra,Lily,Koch
ReprÃÂ©sente,Tegan,Levine
Mercy:The Laundromat,Tegan,Levine
Clockwork Skinhead,Tegan,Levine
Wood And Wire,Tegan,Levine
Best Of Both Worlds (Remastered Album Version),Jayden,Fox
Horn Concerto No. 4 in E flat K495: II. Romance (Andante cantabile),Theodore,Harris
My Brother Is Watching Me,Ann,Banks
Over You,Tegan,Levine
She Loves You,Jayden,Fox
Big In Japan (Original),Lily,Burns
Mindjer dÃÂ´ce mel,Tegan,Levine
Flying Into a Star,Ann,Banks
Marvin & Miles,Tegan,Levine
Dog Days Are Over (Radio Edit),Tegan,Levine
Seven Nation Army,Tegan,Levine
East Side Mags,Ava,Robinson
The Scientist,Ava,Robinson
Revelry,Tegan,Levine
Backyard,Tegan,Levine
The Way You Look Tonight (Live Version),Cecilia,Owens
The Mess I Made,Tegan,Levine
My Apocalypse,Kinsley,Young
Teenage Spaceman,Tegan,Levine
Modern world,Kinsley,Young
Invalid,Cecilia,Owens
Everybody Everybody,Tegan,Levine
Ye Feng Ling,Kinsley,Young
Horn Concerto No. 4 in E flat K495: II. Romance (Andante cantabile),Tegan,Levine
Buttnaked,Kinsley,Young
No One Knows,Tegan,Levine
Il Solo Rimasto,Kinsley,Young
Living In The U.S.A. (1991 Digital Remaster),Tegan,Levine
Drop The World,Kinsley,Young
Stoke Up The Fire,Kinsley,Young
Whiskey Girl,Tegan,Levine
Muy_ Muy Temprano,Tegan,Levine
Under The Northern Star,Kinsley,Young
Genom tunna tyger,Jacob,Rogers
Geh Deinen Weg,Jacob,Rogers
Don't Let The Rain Come Down (Crooked Little Man),Kinsley,Young
Strut (1993 Digital Remaster),Tegan,Levine
Falling Inside The Black (Album Version),Kinsley,Young
Into The Cryptic Mist,Tegan,Levine
Greenback Dollar,Kinsley,Young
Ten Cent Pistol,Tegan,Levine
Times Like These,Kinsley,Young
House Of Broken Love,Kinsley,Young
No Rain,Tegan,Levine
Fly Away From Here,Lily,Burns
Solar Flare,Tegan,Levine
Kaaos ei karkaa,Kinsley,Young
Baker's Blue Jay Yarn,Tegan,Levine
Shortie Like Mine,Tegan,Levine
Hold On,Kinsley,Young
Adios,Tegan,Levine
Shame,Kinsley,Young
Madrugada Na Praia Deserta,Tegan,Levine
Vanishing,Kinsley,Young
I CAN'T GET STARTED,Tegan,Levine
Do We Need This?,Tegan,Levine
Howlin For You,Tegan,Levine
Bleed It Out (Album Version),Adler,Barrera
Microdaze,Tegan,Levine
Crosshairs,Tegan,Levine
Breakdown,Tegan,Levine
The Pretender,Tegan,Levine
Jumpers (Album),Tegan,Levine
Pace Is The Trick,Tegan,Levine
Dance Me To The End Of Love,Tegan,Levine
Star Eyes,Matthew,Jones
Headstrong (Album Version),Tegan,Levine
You Love Me Anyway (Album),Matthew,Jones
Not For You,Tegan,Levine
El Juego Del Rap,Matthew,Jones
U.S. Bombs,Ava,Robinson
Colpa Del Whisky (Andrea Paci Radio Edit),Matthew,Jones
Streets Of Philadelphia,Tegan,Levine
Hey Daddy (Daddy's Home),Ava,Robinson
Grand Designs,Matthew,Jones
Columbus Avenue,Tegan,Levine
Mariposa traicionera,Ava,Robinson
Obsessed,Ryan,Smith
Bubble Toes,Tegan,Levine
Make Love To Your Mind,Ava,Robinson
Natural Anthem (Album),Ryan,Smith
Love On The Rocks,Tegan,Levine
Pass You By,Matthew,Jones
Gone,Ava,Robinson
Unless It's Kicks,Ryan,Smith
DNA,Matthew,Jones
Crazy Beautiful,Tegan,Levine
Sonrisa,Tegan,Levine
Call Me,Matthew,Jones
Kromozom Bankal (Linathaleyco Mix),Matthew,Jones
Pea (Album Version),Ryan,Smith
