sessionId,itemInSession,artist,firstName,gender,lastName,length,level,location,song,userId
582,4,Deadmau5 & Kaskade,Lily,F,Koch,595.56526,paid,"Chicago-Naperville-Elgin, IL-IN-WI",I Remember,15
606,0,,Chloe,F,Cuevas,,paid,"San Francisco-Oakland-Hayward, CA",,49
607,0,Shania Twain,Ryan,M,Smith,213.7073,free,"San Jose-Sunnyvale-Santa Clara, CA",Don't Be Stupid (You Know I Love You),26
607,1,Los Campesinos,Ryan,M,Smith,138.10893,free,"San Jose-Sunnyvale-Santa Clara, CA",We throw parties_ you throw knives,26
606,1,Ill Nino,Chloe,F,Cuevas,188.9171,paid,"San Francisco-Oakland-Hayward, CA",How Can I Live (Spanish version) (Album Version),49
606,2,Mia X,Chloe,F,Cuevas,236.09424,paid,"San Francisco-Oakland-Hayward, CA",Thugs Like Me,49
606,3,Rage Against The Machine,Chloe,F,Cuevas,314.40934,paid,"San Francisco-Oakland-Hayward, CA",Killing In The Name,49
606,4,Asia 2001,Chloe,F,Cuevas,150.30812,paid,"San Francisco-Oakland-Hayward, CA",Epilogue,49
606,5,Muse,Chloe,F,Cuevas,228.93669,paid,"San Francisco-Oakland-Hayward, CA",Endlessly,49
591,0,,Mohammad,M,Rodriguez,,free,"Sacramento--Roseville--Arden-Arcade, CA",,88
606,6,Rise Against,Chloe,F,Cuevas,221.17832,paid,"San Francisco-Oakland-Hayward, CA",Torches,49
591,1,,Mohammad,M,Rodriguez,,free,"Sacramento--Roseville--Arden-Arcade, CA",,88
591,2,,Mohammad,M,Rodriguez,,free,"Sacramento--Roseville--Arden-Arcade, CA",,88
591,3,Modest Mouse,Mohammad,M,Rodriguez,259.47383,free,"Sacramento--Roseville--Arden-Arcade, CA",The Good Times Are Killing Me,88
606,7,Marc Anthony,Chloe,F,Cuevas,314.43546,paid,"San Francisco-Oakland-Hayward, CA",Te Conozco Bien,49
606,8,Regina Spektor,Chloe,F,Cuevas,191.08526,paid,"San Francisco-Oakland-Hayward, CA",The Calculation (Album Version),49
611,0,Nina Sky,Tegan,F,Levine,101.92934,paid,"Portland-South Portland, ME",Goodbye (Interlude),80
324,0,Five Iron Frenzy,Avery,F,Watkins,236.09424,paid,"San Jose-Sunnyvale-Santa Clara, CA",Canada,30
324,1,,Avery,F,Watkins,,paid,"San Jose-Sunnyvale-Santa Clara, CA",,30
611,1,,Tegan,F,Levine,,paid,"Portland-South Portland, ME",,80
324,2,Kudai,Avery,F,Watkins,256.62649,paid,"San Jose-Sunnyvale-Santa Clara, CA",Ven,30
324,3,Pulp,Avery,F,Watkins,260.8322,paid,"San Jose-Sunnyvale-Santa Clara, CA",Do You Remember The First Time?,30
611,2,,Tegan,F,Levine,,paid,"Portland-South Portland, ME",,80
324,4,SinÃÂ©ad O'Connor,Avery,F,Watkins,282.51383,paid,"San Jose-Sunnyvale-Santa Clara, CA",I Want Your (Hands On Me),30
611,3,Paul Brown,Tegan,F,Levine,232.54159,paid,"Portland-South Portland, ME",Chill Out,80
324,5,Lasgo,Avery,F,Watkins,220.13342,paid,"San Jose-Sunnyvale-Santa Clara, CA",Something (Radio Edit),30
611,4,Patty Loveless,Tegan,F,Levine,188.13342,paid,"Portland-South Portland, ME",What's A Broken Heart,80
324,6,Eddie Vedder,Avery,F,Watkins,236.30322,paid,"San Jose-Sunnyvale-Santa Clara, CA",Society,30
611,5,Rogue Wave,Tegan,F,Levine,234.13506,paid,"Portland-South Portland, ME",Christians In Black,80
324,7,Muse,Avery,F,Watkins,304.84853,paid,"San Jose-Sunnyvale-Santa Clara, CA",Uprising,30
611,6,Amanda Blank,Tegan,F,Levine,175.09832,paid,"Portland-South Portland, ME",Might Like You Better,80
324,8,The Smiths,Avery,F,Watkins,162.24608,paid,"San Jose-Sunnyvale-Santa Clara, CA",Sheila Take A Bow,30
611,7,Old 97's,Tegan,F,Levine,231.28771,paid,"Portland-South Portland, ME",Victoria (LP Version),80
324,9,Selena,Avery,F,Watkins,316.42077,paid,"San Jose-Sunnyvale-Santa Clara, CA",Dreaming Of You,30
611,8,Fat Joe,Tegan,F,Levine,267.10159,paid,"Portland-South Portland, ME",What's Luv? (Featuring Ja-Rule & Ashanti) (Explicit Album Version),80
324,10,Stars,Avery,F,Watkins,193.33179,paid,"San Jose-Sunnyvale-Santa Clara, CA",Soft Revolution,30
611,9,James Blunt,Tegan,F,Levine,298.4224,paid,"Portland-South Portland, ME",Same Mistake  (Album Version),80
324,11,Mayday Parade,Avery,F,Watkins,203.28444,paid,"San Jose-Sunnyvale-Santa Clara, CA",Bruised And Scarred (Album Version),30
611,10,Die Mooskirchner,Tegan,F,Levine,169.29914,paid,"Portland-South Portland, ME",Frisch und g'sund,80
324,12,Gorillaz,Avery,F,Watkins,211.77424,paid,"San Jose-Sunnyvale-Santa Clara, CA",Rockit,30
611,11,,Tegan,F,Levine,,paid,"Portland-South Portland, ME",,80
611,12,Toby Keith,Tegan,F,Levine,208.48281,paid,"Portland-South Portland, ME",Should've Been A Cowboy,80
324,13,Modest Mouse,Avery,F,Watkins,284.18567,paid,"San Jose-Sunnyvale-Santa Clara, CA",Little Motel,30
611,13,Future Rock,Tegan,F,Levine,239.90812,paid,"Portland-South Portland, ME",Gears,80
324,14,Noel Pointer,Avery,F,Watkins,259.7873,paid,"San Jose-Sunnyvale-Santa Clara, CA",Superwoman (Where Were You When I Needed You) (Digitally Remastered),30
611,14,Callenish Circle,Tegan,F,Levine,226.11546,paid,"Portland-South Portland, ME",Forgotten,80
575,0,Foo Fighters,Rylan,M,George,250.14812,paid,"Birmingham-Hoover, AL",Everlong,16
324,15,Portishead,Avery,F,Watkins,238.73261,paid,"San Jose-Sunnyvale-Santa Clara, CA",Hunter,30
611,15,Taylor Swift,Tegan,F,Levine,245.36771,paid,"Portland-South Portland, ME",The Way I Loved You,80
575,1,J-Live,Rylan,M,George,256.93995,paid,"Birmingham-Hoover, AL",Longevity,16
324,16,The White Stripes,Avery,F,Watkins,110.47138,paid,"San Jose-Sunnyvale-Santa Clara, CA",Fell In Love With A Girl,30
611,16,Dwight Yoakam,Tegan,F,Levine,239.3073,paid,"Portland-South Portland, ME",You're The One,80
324,17,The Black Keys,Avery,F,Watkins,238.99383,paid,"San Jose-Sunnyvale-Santa Clara, CA",Lies,30
575,2,Five,Rylan,M,George,207.62077,paid,"Birmingham-Hoover, AL",Got The Feelin',16
575,3,,Rylan,M,George,,paid,"Birmingham-Hoover, AL",,16
611,17,Ra,Tegan,F,Levine,319.9473,paid,"Portland-South Portland, ME",Do You Call My Name,80
575,4,Coolio feat. L.V.,Rylan,M,George,241.57995,paid,"Birmingham-Hoover, AL",Gangsta's Paradise (LP Version),16
324,18,Paramore,Avery,F,Watkins,211.51302,paid,"San Jose-Sunnyvale-Santa Clara, CA",Misery Business (Album Version),30
324,19,Leggo Beast,Avery,F,Watkins,321.93261,paid,"San Jose-Sunnyvale-Santa Clara, CA",Itchy Feet,30
575,5,Nneka,Rylan,M,George,226.79465,paid,"Birmingham-Hoover, AL",Gypsy,16
611,18,Diam's,Tegan,F,Levine,250.72281,paid,"Portland-South Portland, ME",Dans Ma Bulle (Edit Radio - Live 2006),80
575,6,Haley Bonar,Rylan,M,George,149.26322,paid,"Birmingham-Hoover, AL",Give It Up,16
611,19,Mansun,Tegan,F,Levine,140.53832,paid,"Portland-South Portland, ME",Love Remains (Home Demo),80
324,20,3 Doors Down,Avery,F,Watkins,237.13914,paid,"San Jose-Sunnyvale-Santa Clara, CA",Here Without You,30
575,7,The Corrs,Rylan,M,George,168.07138,paid,"Birmingham-Hoover, AL",Toss The Feathers (Instrumental) ( LP Version ),16
611,20,Big Tymers,Tegan,F,Levine,197.79873,paid,"Portland-South Portland, ME",Big,80
324,21,Thursday,Avery,F,Watkins,215.37914,paid,"San Jose-Sunnyvale-Santa Clara, CA",I Am The Killer (Album Version),30
575,8,Motion City Soundtrack,Rylan,M,George,111.49016,paid,"Birmingham-Hoover, AL",Don't Call It A Comeback (Album Version),16
575,9,,Rylan,M,George,,paid,"Birmingham-Hoover, AL",,16
611,21,Usher,Tegan,F,Levine,224.10404,paid,"Portland-South Portland, ME",Hey Daddy (Daddy's Home),80
575,10,Juanes,Rylan,M,George,233.40363,paid,"Birmingham-Hoover, AL",No Siento Penas,16
324,22,The Wombats,Avery,F,Watkins,164.70159,paid,"San Jose-Sunnyvale-Santa Clara, CA",Kill The Director [Radio Edit],30
611,22,Katy Perry,Tegan,F,Levine,179.40853,paid,"Portland-South Portland, ME",I Kissed A Girl,80
575,11,As I Lay Dying,Rylan,M,George,231.78404,paid,"Birmingham-Hoover, AL",The Darkest Nights,16
324,23,BjÃÂ¶rk,Avery,F,Watkins,348.57751,paid,"San Jose-Sunnyvale-Santa Clara, CA",Undo,30
611,23,The Bobby Fuller Four,Tegan,F,Levine,138.60526,paid,"Portland-South Portland, ME",I Fought The Law (LP Version),80
575,12,Charly GarcÃÂ­a,Rylan,M,George,330.89261,paid,"Birmingham-Hoover, AL",Influencia,16
611,24,New Bomb Turks,Tegan,F,Levine,60.55138,paid,"Portland-South Portland, ME",Too Much,80
611,25,The Black Keys,Tegan,F,Levine,196.91057,paid,"Portland-South Portland, ME",All Hands Against His Own,80
324,24,PeterLicht,Avery,F,Watkins,305.97179,paid,"San Jose-Sunnyvale-Santa Clara, CA",Blaues Blau,30
611,26,John Mayer,Tegan,F,Levine,359.23546,paid,"Portland-South Portland, ME",Friends_ Lovers Or Nothing,80
575,13,Stone Temple Pilots,Rylan,M,George,255.32036,paid,"Birmingham-Hoover, AL",A Song For Sleeping (LP Version),16
324,25,Bad Lieutenant,Avery,F,Watkins,266.84036,paid,"San Jose-Sunnyvale-Santa Clara, CA",Head Into Tomorrow,30
575,14,Lily Allen,Rylan,M,George,192.49587,paid,"Birmingham-Hoover, AL",Smile Version Revisited (Mark Ronson Remix) (Explicit),16
611,27,Neil Halstead,Tegan,F,Levine,294.29506,paid,"Portland-South Portland, ME",A Gentle Heart,80
324,26,Juanes,Avery,F,Watkins,222.37995,paid,"San Jose-Sunnyvale-Santa Clara, CA",Un DÃÂ­a Normal,30
575,15,Distance,Rylan,M,George,300.87791,paid,"Birmingham-Hoover, AL",Ska,16
324,27,Slipknot,Avery,F,Watkins,253.98812,paid,"San Jose-Sunnyvale-Santa Clara, CA",The Heretic Anthem (Album Version),30
560,0,,Kaleb,M,Cook,,free,"Yuba City, CA",,54
611,28,Franz Ferdinand,Tegan,F,Levine,137.56036,paid,"Portland-South Portland, ME",Tell Her Tonight,80
575,16,Jedi Mind Tricks,Rylan,M,George,232.88118,paid,"Birmingham-Hoover, AL",Suicide,16
611,29,Miles Davis,Tegan,F,Levine,285.20444,paid,"Portland-South Portland, ME",Stella By Starlight,80
324,28,B.o.B,Avery,F,Watkins,269.63546,paid,"San Jose-Sunnyvale-Santa Clara, CA",Nothin' On You [feat. Bruno Mars] (Album Version),30
575,17,The Avett Brothers,Rylan,M,George,300.85179,paid,"Birmingham-Hoover, AL",I And Love And You,16
611,30,Joshua Bell / Paul Coker,Tegan,F,Levine,275.93098,paid,"Portland-South Portland, ME",Caprice viennois op.2,80
324,29,Bad Brains,Avery,F,Watkins,32.31302,paid,"San Jose-Sunnyvale-Santa Clara, CA",Joshua's Song (1991 Digital Remaster),30
324,30,Shakira ft. Wyclef Jean,Avery,F,Watkins,215.90159,paid,"San Jose-Sunnyvale-Santa Clara, CA",Hips Don't Lie,30
575,18,Band Of Horses,Rylan,M,George,321.14893,paid,"Birmingham-Hoover, AL",The Funeral (Album Version),16
611,31,Alesana,Tegan,F,Levine,185.33832,paid,"Portland-South Portland, ME",Ambrosia,80
324,31,Samy Deluxe,Avery,F,Watkins,236.77342,paid,"San Jose-Sunnyvale-Santa Clara, CA",Einfach Ich,30
611,32,Corona,Tegan,F,Levine,408.60689,paid,"Portland-South Portland, ME",Higher Messiah,80
324,32,The Presets,Avery,F,Watkins,267.54567,paid,"San Jose-Sunnyvale-Santa Clara, CA",If I Know You,30
324,33,Pixies,Avery,F,Watkins,98.92526,paid,"San Jose-Sunnyvale-Santa Clara, CA",In Heaven,30
611,33,Existone,Tegan,F,Levine,652.30322,paid,"Portland-South Portland, ME",Wounded Soul,80
324,34,John Mayer,Avery,F,Watkins,258.16771,paid,"San Jose-Sunnyvale-Santa Clara, CA",Bold As Love,30
324,35,Zakir Hussain,Avery,F,Watkins,722.442,paid,"San Jose-Sunnyvale-Santa Clara, CA",The Great ndian Desert,30
611,34,Jag Panzer,Tegan,F,Levine,200.38485,paid,"Portland-South Portland, ME",Face Of Fear,80
611,35,Two Door Cinema Club,Tegan,F,Levine,189.67465,paid,"Portland-South Portland, ME",What You Know,80
611,36,Little Anthony & The Imperials,Tegan,F,Levine,127.42485,paid,"Portland-South Portland, ME",Hurt,80
324,36,AndrÃÂ©s Cepeda,Avery,F,Watkins,211.80036,paid,"San Jose-Sunnyvale-Santa Clara, CA",Me Lleva Tiempo,30
611,37,Herb Alpert And The Tijuana Brass,Tegan,F,Levine,132.80608,paid,"Portland-South Portland, ME",So What's New,80
324,37,Ozma,Avery,F,Watkins,144.53506,paid,"San Jose-Sunnyvale-Santa Clara, CA",Flight Of Yuri Gagarin,30
611,38,Ozric Tentacles,Tegan,F,Levine,461.21751,paid,"Portland-South Portland, ME",Mooncalf,80
324,38,Evanescence,Avery,F,Watkins,263.78404,paid,"San Jose-Sunnyvale-Santa Clara, CA",My Immortal (Album Version),30
324,39,Weezer,Avery,F,Watkins,232.85506,paid,"San Jose-Sunnyvale-Santa Clara, CA",Velouria,30
369,0,Flying Lotus,Jahiem,M,Miles,115.33016,free,"San Antonio-New Braunfels, TX",Bad Actors,43
611,39,Ben Folds,Tegan,F,Levine,250.87955,paid,"Portland-South Portland, ME",Bitches Ain't Shit,80
324,40,matchbox twenty,Avery,F,Watkins,229.14567,paid,"San Jose-Sunnyvale-Santa Clara, CA",Unwell (Album Version),30
611,40,Deftones,Tegan,F,Levine,189.75302,paid,"Portland-South Portland, ME",Feiticeira (LP Version),80
615,0,,Chloe,F,Cuevas,,paid,"San Francisco-Oakland-Hayward, CA",,49
615,1,,Chloe,F,Cuevas,,paid,"San Francisco-Oakland-Hayward, CA",,49
536,0,,Aleena,F,Kirby,,paid,"Waterloo-Cedar Falls, IA",,44
324,41,Silverchair,Avery,F,Watkins,319.13751,paid,"San Jose-Sunnyvale-Santa Clara, CA",Without You (Album Version),30
611,41,Muse,Tegan,F,Levine,258.06322,paid,"Portland-South Portland, ME",Map Of The Problematique,80
324,42,Zen CafÃÂ©,Avery,F,Watkins,259.02975,paid,"San Jose-Sunnyvale-Santa Clara, CA",Kotona kaikuu,30
611,42,Mariah Carey / Twista,Tegan,F,Levine,194.7424,paid,"Portland-South Portland, ME",One And Only,80
615,2,,,,,,paid,,,
324,43,Strike Anywhere,Avery,F,Watkins,120.00608,paid,"San Jose-Sunnyvale-Santa Clara, CA",Gunpowder,30
324,44,Tri Sestry,Avery,F,Watkins,97.72363,paid,"San Jose-Sunnyvale-Santa Clara, CA",Had Stupid,30
324,45,Don Williams,Avery,F,Watkins,191.03302,paid,"San Jose-Sunnyvale-Santa Clara, CA",If Hollywood Don't Need You,30
324,46,The Nerves,Avery,F,Watkins,92.86485,paid,"San Jose-Sunnyvale-Santa Clara, CA",Are You Famous?,30
324,47,Ulf Wakenius,Avery,F,Watkins,324.15302,paid,"San Jose-Sunnyvale-Santa Clara, CA",Good Morning Susie Soho,30
324,48,The Kooks,Avery,F,Watkins,168.72444,paid,"San Jose-Sunnyvale-Santa Clara, CA",She Moves In Her Own Way,30
324,49,New Radicals,Avery,F,Watkins,300.82567,paid,"San Jose-Sunnyvale-Santa Clara, CA",You Get What You Give,30
324,50,Wolfmother,Avery,F,Watkins,333.7922,paid,"San Jose-Sunnyvale-Santa Clara, CA",Where Eagles Have Been,30
324,51,The Shins,Avery,F,Watkins,225.61914,paid,"San Jose-Sunnyvale-Santa Clara, CA",Spilt Needles (Album),30
324,52,Nickel Creek,Avery,F,Watkins,248.58077,paid,"San Jose-Sunnyvale-Santa Clara, CA",Reasons Why,30
324,53,Pigeon John,Avery,F,Watkins,180.00934,paid,"San Jose-Sunnyvale-Santa Clara, CA",Crazy,30
324,54,Eels,Avery,F,Watkins,211.48689,paid,"San Jose-Sunnyvale-Santa Clara, CA",Love Of The Loveless,30
324,55,Harmonia,Avery,F,Watkins,655.77751,paid,"San Jose-Sunnyvale-Santa Clara, CA",Sehr kosmisch,30
324,56,Marina And The Diamonds,Avery,F,Watkins,182.59546,paid,"San Jose-Sunnyvale-Santa Clara, CA",Oh No! (album version),30
324,57,Eminem,Avery,F,Watkins,284.86485,paid,"San Jose-Sunnyvale-Santa Clara, CA",The Real Slim Shady,30
324,58,Hassisen Kone,Avery,F,Watkins,162.61179,paid,"San Jose-Sunnyvale-Santa Clara, CA",REIPPAINA KÃÂYMME REKKAIN ALLE,30
324,59,Dwight Yoakam,Avery,F,Watkins,239.3073,paid,"San Jose-Sunnyvale-Santa Clara, CA",You're The One,30
324,60,Sunlounger,Avery,F,Watkins,594.15465,paid,"San Jose-Sunnyvale-Santa Clara, CA",White Sand,30
324,61,Youssou N'Dour,Avery,F,Watkins,238.39302,paid,"San Jose-Sunnyvale-Santa Clara, CA",Tan bi (Heat_ Breeze_ Tenderness) / Chaleur_ brise_ tendress,30
324,62,The Decemberists,Avery,F,Watkins,209.08363,paid,"San Jose-Sunnyvale-Santa Clara, CA",Red Right Ankle,30
324,63,The Ruts,Avery,F,Watkins,185.75628,paid,"San Jose-Sunnyvale-Santa Clara, CA",Savage Circle,30
324,64,Adrian Legg,Avery,F,Watkins,122.77506,paid,"San Jose-Sunnyvale-Santa Clara, CA",The One-Eyed Turk,30
324,65,,Avery,F,Watkins,,paid,"San Jose-Sunnyvale-Santa Clara, CA",,30
324,66,Bedrock,Avery,F,Watkins,664.0322,paid,"San Jose-Sunnyvale-Santa Clara, CA",Set In Stone,30
605,0,Prince & The Revolution,Kate,F,Harrell,280.00608,paid,"Lansing-East Lansing, MI",Let's Go Crazy (LP Version),97
605,1,The Zombies,Kate,F,Harrell,157.33506,paid,"Lansing-East Lansing, MI",She's Coming Home,97
605,2,Portishead,Kate,F,Harrell,238.0273,paid,"Lansing-East Lansing, MI",Numb,97
324,67,Jack Johnson,Avery,F,Watkins,212.68853,paid,"San Jose-Sunnyvale-Santa Clara, CA",Breakdown,30
605,3,Justice,Kate,F,Harrell,205.50485,paid,"Lansing-East Lansing, MI",Let There Be Lite (Album Version),97
324,68,Snow Patrol,Avery,F,Watkins,223.18975,paid,"San Jose-Sunnyvale-Santa Clara, CA",Set Down Your Glass,30
613,0,,Ryan,M,Smith,,free,"San Jose-Sunnyvale-Santa Clara, CA",,26
605,4,Lemon Jelly,Kate,F,Harrell,238.47138,paid,"Lansing-East Lansing, MI",Nice Weather For Ducks,97
324,69,The Lucksmiths,Avery,F,Watkins,153.70404,paid,"San Jose-Sunnyvale-Santa Clara, CA",Tale Of Two Cities,30
605,5,Ben Kweller,Kate,F,Harrell,188.60363,paid,"Lansing-East Lansing, MI",Magic,97
324,70,Fedde le Grand Pres. Flamingo,Avery,F,Watkins,396.32934,paid,"San Jose-Sunnyvale-Santa Clara, CA",Take No Shhh (Original Mix),30
605,6,Rodrigo y Gabriela,Kate,F,Harrell,233.40363,paid,"Lansing-East Lansing, MI",VIKING MAN,97
605,7,Black Eyed Peas,Kate,F,Harrell,289.12281,paid,"Lansing-East Lansing, MI",I Gotta Feeling,97
324,71,Five Iron Frenzy,Avery,F,Watkins,236.09424,paid,"San Jose-Sunnyvale-Santa Clara, CA",Canada,30
598,0,Creedence Clearwater Revival,Ava,F,Robinson,164.57098,free,"New Haven-Milford, CT",Down On The Corner,50
598,1,Kings Of Leon,Ava,F,Robinson,186.69669,free,"New Haven-Milford, CT",Camaro,50
324,72,Fireflight,Avery,F,Watkins,201.16853,paid,"San Jose-Sunnyvale-Santa Clara, CA",Unbreakable,30
605,8,Steppenwolf,Kate,F,Harrell,208.14322,paid,"Lansing-East Lansing, MI",Born To Be Wild,97
598,2,New Found Glory,Ava,F,Robinson,222.69342,free,"New Haven-Milford, CT",the king of wishful thinking,50
531,0,,Devin,M,Larson,,free,"Tampa-St. Petersburg-Clearwater, FL",,60
324,73,The Pussycat Dolls,Avery,F,Watkins,221.1522,paid,"San Jose-Sunnyvale-Santa Clara, CA",Elevator,30
605,9,Eric Clapton,Kate,F,Harrell,208.48281,paid,"Lansing-East Lansing, MI",Willie And The Hand Jive,97
531,1,Josh Groban,Devin,M,Larson,260.70159,free,"Tampa-St. Petersburg-Clearwater, FL",Little Drummer Boy [featuring guitarist Andy McKee] (Album Version),60
324,74,The Dresden Dolls,Avery,F,Watkins,286.40608,paid,"San Jose-Sunnyvale-Santa Clara, CA",Coin-Operated Boy,30
605,10,Pixies,Kate,F,Harrell,229.3024,paid,"Lansing-East Lansing, MI",Where Is My Mind?,97
531,2,Creedence Clearwater Revival,Devin,M,Larson,271.882,free,"Tampa-St. Petersburg-Clearwater, FL",I Put A Spell On You,60
605,11,The Smiths,Kate,F,Harrell,123.01016,paid,"Lansing-East Lansing, MI",Girlfriend In A Coma,97
324,75,Danger Doom,Avery,F,Watkins,187.27138,paid,"San Jose-Sunnyvale-Santa Clara, CA",No Names (Black Debbie) (Album Version),30
605,12,Taylor Swift,Kate,F,Harrell,233.89995,paid,"Lansing-East Lansing, MI",Love Story,97
324,76,Vilma Palma e Vampiros,Avery,F,Watkins,281.99138,paid,"San Jose-Sunnyvale-Santa Clara, CA",La pachanga,30
605,13,Busta Rhymes feat. Pharrell,Kate,F,Harrell,220.47302,paid,"Lansing-East Lansing, MI",Light Your Ass On Fire,97
324,77,Little People,Avery,F,Watkins,230.1122,paid,"San Jose-Sunnyvale-Santa Clara, CA",Above The Clouds,30
605,14,Dwight Yoakam,Kate,F,Harrell,239.3073,paid,"Lansing-East Lansing, MI",You're The One,97
324,78,Amy Winehouse,Avery,F,Watkins,164.85832,paid,"San Jose-Sunnyvale-Santa Clara, CA",He Can Only Hold Her,30
605,15,Ernie K-Doe,Kate,F,Harrell,160.96608,paid,"Lansing-East Lansing, MI",Te-Ta-Te-Ta-Ta (2002 Digital Remaster),97
324,79,Alesana,Avery,F,Watkins,242.49424,paid,"San Jose-Sunnyvale-Santa Clara, CA",Congratulations_ I Hate You,30
605,16,Dwight Yoakam,Kate,F,Harrell,239.3073,paid,"Lansing-East Lansing, MI",You're The One,97
324,80,Gazpacho,Avery,F,Watkins,253.51791,paid,"San Jose-Sunnyvale-Santa Clara, CA",Premonicion,30
605,17,Black Lips,Kate,F,Harrell,162.76853,paid,"Lansing-East Lansing, MI",Lock and Key,97
605,18,Kanye West,Kate,F,Harrell,311.84934,paid,"Lansing-East Lansing, MI",Stronger,97
324,81,Arcade Fire,Avery,F,Watkins,136.69832,paid,"San Jose-Sunnyvale-Santa Clara, CA",Neon Bible,30
324,82,Barry Tuckwell/Academy of St Martin-in-the-Fields/Sir Neville Marriner,Avery,F,Watkins,277.15873,paid,"San Jose-Sunnyvale-Santa Clara, CA",Horn Concerto No. 4 in E flat K495: II. Romance (Andante cantabile),30
605,19,Fanfarlo,Kate,F,Harrell,270.78485,paid,"Lansing-East Lansing, MI",I'm a Pilot,97
324,83,Crystal Castles,Avery,F,Watkins,251.08853,paid,"San Jose-Sunnyvale-Santa Clara, CA",Empathy,30
324,84,,Avery,F,Watkins,,paid,"San Jose-Sunnyvale-Santa Clara, CA",,30
324,85,,Avery,F,Watkins,,paid,"San Jose-Sunnyvale-Santa Clara, CA",,30
605,20,Zeca Baleiro,Kate,F,Harrell,452.8322,paid,"Lansing-East Lansing, MI",Brigitte Bardot,97
324,86,Angus & Julia Stone,Avery,F,Watkins,236.95628,paid,"San Jose-Sunnyvale-Santa Clara, CA",Just A Boy,30
324,87,Julian Casablancas,Avery,F,Watkins,302.47138,paid,"San Jose-Sunnyvale-Santa Clara, CA",4 Chords of the Apocalypse,30
605,21,Fat Joe,Kate,F,Harrell,241.34485,paid,"Lansing-East Lansing, MI",Safe 2 Say [The Incredible] (Album Version - Amended),97
324,88,Usher Featuring Lil' Jon & Ludacris,Avery,F,Watkins,250.38322,paid,"San Jose-Sunnyvale-Santa Clara, CA",Yeah!,30
605,22,Pat Benatar,Kate,F,Harrell,290.37669,paid,"Lansing-East Lansing, MI",Don't Walk Away,97
324,89,Fergie,Avery,F,Watkins,248.39791,paid,"San Jose-Sunnyvale-Santa Clara, CA",Losing My Ground,30
605,23,Muse,Kate,F,Harrell,209.50159,paid,"Lansing-East Lansing, MI",Supermassive Black Hole (Twilight Soundtrack Version),97
324,90,Two Door Cinema Club,Avery,F,Watkins,168.09751,paid,"San Jose-Sunnyvale-Santa Clara, CA",Undercover Martyn,30
605,24,Spineshank,Kate,F,Harrell,167.26159,paid,"Lansing-East Lansing, MI",Intake (Album Version),97
324,91,Whitney Houston Duet With Mariah Carey,Avery,F,Watkins,273.34485,paid,"San Jose-Sunnyvale-Santa Clara, CA",When You Believe,30
605,25,Death Cab for Cutie,Kate,F,Harrell,488.64608,paid,"Lansing-East Lansing, MI",Transatlanticism,97
324,92,Noir DÃÂ©sir,Avery,F,Watkins,374.77832,paid,"San Jose-Sunnyvale-Santa Clara, CA",Ces Gens LÃÂ ,30
